nodes_g1,nodes_g2,time_sec,time_format,distance
15,209,600.0012755393982,00h10m00s,-1
8,13,144.96261525154114,00h02m24s,18.0
7,10,5.359638452529907,00h00m05s,15.0
8,107,600.0007989406586,00h10m00s,-1
10,10,2.149611473083496,00h00m02s,13.0
8,71,600.0007004737854,00h10m00s,-1
7,9,0.07538127899169922,00h00m00s,10.0
18,12,600.0006859302521,00h10m00s,-1
11,15,600.0006947517395,00h10m00s,-1
7,10,4.758404493331909,00h00m04s,14.0
17,16,600.0006468296051,00h10m00s,-1
9,36,600.0009253025055,00h10m00s,-1
14,10,183.96972846984863,00h03m03s,19.0
12,17,600.000960111618,00h10m00s,-1
16,8,600.0008623600006,00h10m00s,-1
16,18,600.0010201931,00h10m00s,-1
13,19,600.0007812976837,00h10m00s,-1
22,16,600.000883102417,00h10m00s,-1
9,8,3.635504722595215,00h00m03s,12.0
11,8,18.320515632629395,00h00m18s,14.0
8,9,3.135810375213623,00h00m03s,12.0
17,7,0.05810189247131348,00h00m00s,20.0
6,20,0.2036433219909668,00h00m00s,33.0
7,10,3.5177791118621826,00h00m03s,15.0
13,17,600.0004289150238,00h10m00s,-1
6,14,12.19662880897522,00h00m12s,22.0
9,74,600.0010280609131,00h10m00s,-1
8,11,43.69713115692139,00h00m43s,14.0
6,11,0.5998568534851074,00h00m00s,13.0
6,7,0.1240987777709961,00h00m00s,8.0
23,9,35.12045860290527,00h00m35s,32.0
11,10,154.4718108177185,00h02m34s,12.0
12,8,600.000589132309,00h10m00s,-1
79,10,600.001681804657,00h10m00s,-1
10,13,266.3877227306366,00h04m26s,18.0
6,7,0.046013593673706055,00h00m00s,8.0
41,50,600.0011730194092,00h10m00s,-1
10,11,235.38814640045166,00h03m55s,12.0
5,6,0.08924150466918945,00h00m00s,9.0
5,7,0.10639190673828125,00h00m00s,9.0
13,4,0.023990631103515625,00h00m00s,21.0
15,9,324.4326469898224,00h05m24s,19.0
10,13,600.0007567405701,00h10m00s,-1
15,9,600.000725030899,00h10m00s,-1
7,15,84.12955403327942,00h01m24s,21.0
13,19,1.8629205226898193,00h00m01s,14.0
10,9,43.24078726768494,00h00m43s,13.0
49,8,600.0009844303131,00h10m00s,-1
457,103,600.0057091712952,00h10m00s,-1
8,9,4.642938613891602,00h00m04s,12.0
9,8,0.42192530632019043,00h00m00s,6.0
10,9,27.410823822021484,00h00m27s,14.0
15,13,600.0004472732544,00h10m00s,-1
13,10,600.0006458759308,00h10m00s,-1
10,8,3.8415658473968506,00h00m03s,12.0
6,6,0.0032002925872802734,00h00m00s,0.0
77,19,600.0009710788727,00h10m00s,-1
9,6,0.8554635047912598,00h00m00s,12.0
22,6,30.04444169998169,00h00m30s,37.0
18,84,600.0011796951294,00h10m00s,-1
25,10,600.0010373592377,00h10m00s,-1
9,10,41.17720699310303,00h00m41s,15.0
17,6,0.6093144416809082,00h00m00s,21.0
9,18,600.0005095005035,00h10m00s,-1
16,13,600.0006484985352,00h10m00s,-1
7,81,2.025045394897461,00h00m02s,134.0
7,12,49.42349314689636,00h00m49s,19.0
10,7,2.7784101963043213,00h00m02s,13.0
