G1_nodes,G2_nodes,elapsed_time_sec,elapsed_time_formatted
15,5,0.1247260570526123,00h00m00s
5,15,0.12653064727783203,00h00m00s
12,6,0.21976494789123535,00h00m00s
6,12,0.5453290939331055,00h00m00s
12,9,116.44696617126465,00h01m56s
9,12,130.1723256111145,00h02m10s
17,15,613.659277677536,00h10m13s
8,17,1113.1744017601013,00h18m33s
15,7,71.156174659729,00h01m11s
13,9,0.020007848739624023,00h00m00s
15,7,44.33589744567871,00h00m44s
13,9,0.01108694076538086,00h00m00s
15,7,43.966296911239624,00h00m43s
13,9,0.010977506637573242,00h00m00s
15,7,43.79573130607605,00h00m43s
13,9,0.010924577713012695,00h00m00s
15,7,60.298439264297485,00h01m00s
13,9,0.055115461349487305,00h00m00s
12,6,0.07801032066345215,00h00m00s
6,12,0.03710532188415527,00h00m00s
15,7,51.65674352645874,00h00m51s
13,9,0.012810230255126953,00h00m00s
15,7,51.34149360656738,00h00m51s
13,9,0.01308131217956543,00h00m00s
15,7,73.5250415802002,00h01m13s
13,9,0.020364046096801758,00h00m00s
